ID,ML,CHIP,TLP,ESM,HSPC,CHOL,PEG,TFR ,FRR,BUFFER,OUTPUT,SIZE,PDI
43CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,2.044,1.8,MQ,0,BIG,1.0
44CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,2.044,1.8,MQ,1,MEDIUM,0.08
45CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,0.706,4.2,MQ,0,BIG,0.569
46CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,0.706,4.2,MQ,1,MEDIUM,0.059
47CM,ESM,Micromixer,20.0,17.97,0.0,2.03,0.0,2.044,4.2,MQ,1,MEDIUM,0.236
48CM,ESM,Micromixer,20.0,12.03,0.0,7.97,0.0,2.044,4.2,MQ,1,SMALL,0.061
49CM,ESM,Micromixer,20.0,20.0,0.0,0.0,0.0,1.375,3.0,MQ,0,BIG,0.973
50CM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,1.375,3.0,MQ,1,SMALL,0.066
51CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,0.25,3.0,MQ,1,MEDIUM,0.271
52CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,2.5,3.0,MQ,1,MEDIUM,0.042
53CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,1.0,MQ,0,BIG,0.573
54CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,5.0,MQ,1,MEDIUM,0.037
55CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,MEDIUM,0.179
56CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,MEDIUM,0.087
57CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,MEDIUM,0.143
58CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,MEDIUM,0.091
59CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,MEDIUM,0.162
60CM,ESM,Micromixer,20.0,15.0,0.0,5.0,0.0,1.375,3.0,MQ,1,MEDIUM,0.086
61CM,ESM,Micromixer,20.0,10.0,0.0,10.0,0.0,1.375,3.5,MQ,1,SMALL,0.09
